name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,now_cost,was_home,yellow_cards,predicted_performance
Benjamin White,DEF,Arsenal,9.0,2,3,37,0,47.0,29,0.26,0.26,0.0,0.97,271,1,0,9.9,48.4,2024-03-09T17:30:00Z,90,4,0,0,0,0,28,0,1269366,1,1,2,4.0,11,104603,116062,11459,56,True,0,11.134718243464166
John Stones,DEF,Man City,5.1,0,2,27,0,4.5,368,0.01,0.84,0.83,2.46,277,1,1,9.1,53.4,2024-03-10T15:45:00Z,90,11,0,0,0,0,28,0,306901,1,1,1,33.0,10,1115,5255,4140,53,False,0,9.962566751016485
Rayan Aït-Nouri,DEF,Wolves,6.0,0,2,26,0,14.1,545,0.06,0.35,0.29,2.7,280,1,1,10.2,43.6,2024-03-09T15:00:00Z,90,10,0,0,0,0,28,0,141662,1,1,2,44.0,10,2541,12430,9889,45,True,0,9.259052177061763
Cristian Romero,DEF,Spurs,6.3,0,2,35,1,1.0,511,0.01,0.01,0.0,0.97,272,0,0,2.6,25.2,2024-03-10T13:00:00Z,90,2,0,0,0,0,28,0,917817,1,4,0,0.0,8,117246,127787,10541,50,False,0,8.313573336312892
Victor Lindelöf,DEF,Man Utd,2.2,0,1,29,1,2.3,386,0.01,0.37,0.36,1.48,278,0,0,5.8,13.8,2024-03-09T12:30:00Z,90,9,0,0,0,0,28,0,32354,1,0,2,42.0,7,2375,3076,701,45,True,0,8.29440452017386
Jayden Bogle,DEF,Sheffield Utd,1.3,1,0,25,1,0.1,476,0.0,0.14,0.14,1.93,273,0,0,4.9,14.8,2024-03-09T15:00:00Z,68,3,0,0,0,0,28,0,10680,1,2,2,34.0,9,608,1053,445,45,False,0,8.082759346979238
Pedro Porro,DEF,Spurs,2.3,0,1,30,1,34.4,506,0.18,0.18,0.0,0.97,272,0,0,5.7,22.4,2024-03-10T13:00:00Z,90,2,0,0,0,0,28,0,1554875,1,4,0,0.0,7,-93520,45303,138823,57,False,0,8.037485564454295
Diogo Dalot Teixeira,DEF,Man Utd,2.5,0,0,28,1,6.2,377,0.01,0.03,0.02,1.48,278,0,0,3.5,15.8,2024-03-09T12:30:00Z,90,9,0,0,0,0,28,0,651935,1,0,2,13.0,6,27759,51326,23567,52,True,0,8.02974703244902
Jack Robinson,DEF,Sheffield Utd,1.0,0,0,28,0,10.3,576,0.03,0.17,0.14,3.34,273,2,1,11.4,71.0,2024-03-09T15:00:00Z,90,3,0,0,0,0,28,0,9245,1,2,2,33.0,7,118,300,182,43,False,0,7.710890529064823
Lewis Dunk,DEF,Brighton,7.2,0,1,27,1,0.7,129,0.01,0.04,0.03,0.68,274,0,0,3.2,24.4,2024-03-10T14:00:00Z,90,16,0,0,0,0,28,0,657085,1,0,1,7.0,7,16046,50926,34880,52,True,0,7.599737613842519
Jean-Philippe Mateta,FWD,Crystal Palace,5.7,0,2,23,1,22.3,232,0.04,1.2,1.16,0.66,276,0,1,13.7,36.8,2024-03-09T15:00:00Z,80,12,0,0,0,0,28,0,101264,1,1,1,78.0,8,-7569,12423,19992,49,True,0,14.514828594906392
Antoine Semenyo,FWD,Bournemouth,13.8,0,3,63,0,39.8,82,0.13,0.56,0.44,2.1,162,3,2,17.8,79.4,2024-03-13T19:30:00Z,90,12,0,0,0,0,28,0,300960,1,3,4,59.0,13,63943,76641,12698,45,True,0,12.065359305665883
Antoine Semenyo,FWD,Bournemouth,13.8,0,0,-1,0,8.5,82,0.04,0.58,0.54,1.27,273,2,0,6.4,9.0,2024-03-09T15:00:00Z,90,17,0,0,0,0,28,0,300960,1,2,2,46.0,2,63943,76641,12698,45,True,0,12.065359305665883
David Datro Fofana,FWD,Burnley,3.3,0,3,29,0,2.4,200,0.05,0.36,0.31,1.82,279,2,1,7.3,45.6,2024-03-10T14:00:00Z,90,19,0,0,0,0,28,0,22627,1,2,2,25.0,9,-6215,1218,7433,50,False,0,11.870858975701719
Nicolas Jackson,FWD,Chelsea,6.3,0,2,30,0,11.4,211,0.07,0.42,0.35,0.8,275,2,1,8.6,44.8,2024-03-11T20:00:00Z,90,15,0,0,0,0,28,0,457490,1,2,3,30.0,8,1407,14530,13123,68,True,0,9.897405850149964
Yoane Wissa,FWD,Brentford,2.6,0,0,24,0,10.8,119,0.02,0.42,0.4,1.0,271,1,1,8.4,33.6,2024-03-09T17:30:00Z,77,1,0,0,0,0,28,0,460257,1,1,2,40.0,5,2356,13996,11640,56,False,1,9.00410835756779
Danny Ings,FWD,West Ham,2.5,0,2,27,0,0.0,535,0.0,0.17,0.17,0.33,279,0,1,5.5,34.0,2024-03-10T14:00:00Z,8,6,0,0,0,0,28,0,68344,0,2,2,21.0,7,-830,811,1641,56,True,0,8.737965000694603
Dominic Solanke,FWD,Bournemouth,10.6,0,0,-5,0,32.9,85,0.16,0.99,0.83,1.27,273,2,0,8.2,7.2,2024-03-09T15:00:00Z,90,17,0,1,0,0,28,0,3496811,1,2,2,42.0,0,938181,1004591,66410,72,True,0,8.332748715529101
Dominic Solanke,FWD,Bournemouth,10.6,0,2,31,0,44.5,85,0.04,0.54,0.5,2.1,162,3,1,11.1,39.6,2024-03-13T19:30:00Z,90,12,0,0,0,0,28,0,3496811,1,3,4,27.0,8,938181,1004591,66410,72,True,0,8.332748715529101
Enes Ünal,FWD,Bournemouth,7.0,0,0,27,0,1.1,804,0.0,0.24,0.24,0.16,273,1,1,9.8,36.4,2024-03-09T15:00:00Z,28,17,0,0,0,0,28,0,1477,0,2,2,60.0,5,106,449,343,50,True,0,7.833792068335772
André Onana,GK,Man Utd,4.5,0,3,34,1,10.0,597,0.01,0.01,0.0,1.48,278,0,0,5.8,48.2,2024-03-09T12:30:00Z,90,9,0,0,0,0,28,6,1334497,1,0,2,0.0,11,16131,36372,20241,48,True,0,12.314858075582213
Bart Verbruggen,GK,Brighton,4.2,0,3,33,1,0.0,152,0.0,0.0,0.0,0.68,274,0,0,2.8,28.2,2024-03-10T14:00:00Z,90,16,0,0,0,0,28,4,42286,1,0,1,0.0,10,-1956,577,2533,44,True,0,11.349393614991891
Guglielmo Vicario,GK,Spurs,3.7,0,0,29,1,0.0,520,0.0,0.0,0.0,0.97,272,0,0,1.5,14.8,2024-03-10T13:00:00Z,90,2,0,0,0,0,28,1,837874,1,4,0,0.0,6,-14019,14923,28942,53,False,0,5.538674717344024
Ivo Grbic,GK,Sheffield Utd,0.7,0,0,25,0,0.0,790,0.0,0.0,0.0,3.34,273,2,0,5.9,59.4,2024-03-09T15:00:00Z,90,3,0,0,0,0,28,9,795,1,2,2,0.0,3,154,227,73,45,False,1,5.211541886393451
Jordan Pickford,GK,Everton,2.5,0,0,25,0,0.0,263,0.03,0.03,0.0,2.56,278,2,0,4.3,43.2,2024-03-09T12:30:00Z,90,14,0,0,0,0,28,6,1272780,1,0,2,0.0,3,-45262,15456,60718,46,False,0,4.056922489293462
Norberto Murara Neto,GK,Bournemouth,7.8,0,0,24,0,0.0,77,0.0,0.0,0.0,1.27,273,2,0,5.9,58.8,2024-03-09T15:00:00Z,90,17,0,0,0,0,28,7,733169,1,2,2,0.0,3,274355,280854,6499,47,True,0,3.926359382558556
Norberto Murara Neto,GK,Bournemouth,7.8,0,0,11,0,0.0,77,0.0,0.0,0.0,2.1,162,3,0,1.1,10.8,2024-03-13T19:30:00Z,90,12,0,0,0,0,28,1,733169,1,3,4,0.0,1,274355,280854,6499,47,True,0,3.926359382558556
Caoimhin Kelleher,GK,Liverpool,3.7,0,0,20,0,0.0,301,0.0,0.0,0.0,1.61,277,1,0,4.1,40.8,2024-03-10T15:45:00Z,90,13,0,0,0,0,28,5,469249,1,1,1,0.0,3,33820,53981,20161,38,True,0,3.616836032115012
Mark Flekken,GK,Brentford,1.0,0,0,19,0,0.0,101,0.0,0.0,0.0,1.32,271,2,0,3.0,30.0,2024-03-09T17:30:00Z,90,1,0,0,0,0,28,4,360916,1,1,2,0.0,2,-13870,13074,26944,45,False,0,3.370518021187293
José Malheiro de Sá,GK,Wolves,3.2,0,0,18,0,0.0,569,0.0,0.0,0.0,2.7,280,1,0,3.2,32.2,2024-03-09T15:00:00Z,90,10,0,0,0,0,28,5,169219,1,1,2,0.0,3,-12596,3798,16394,50,True,0,3.3378159471520115
Bruno Borges Fernandes,MID,Man Utd,5.5,0,3,34,1,63.2,373,0.18,1.18,1.0,1.48,278,0,1,17.5,49.8,2024-03-09T12:30:00Z,90,9,0,0,0,0,28,0,1053763,1,0,2,62.0,11,4062,21800,17738,82,True,0,17.924592939005333
Son Heung-min,MID,Spurs,8.7,2,3,55,1,34.8,516,0.31,0.54,0.23,0.97,272,0,1,15.0,77.4,2024-03-10T13:00:00Z,90,2,0,0,0,0,28,0,2656755,1,4,0,38.0,17,333607,366187,32580,98,False,0,16.983516659118173
Alex Iwobi,MID,Fulham,6.0,0,3,37,0,80.3,256,0.36,0.92,0.56,0.83,280,2,1,19.3,56.4,2024-03-09T15:00:00Z,90,20,0,0,0,0,28,0,44785,1,1,2,56.0,10,608,3595,2987,53,False,0,16.71066074813183
Cole Palmer,MID,Chelsea,6.7,1,3,34,0,33.2,362,0.03,0.14,0.11,0.68,275,1,1,13.0,63.4,2024-03-11T20:00:00Z,85,15,0,0,0,0,28,0,3707718,1,2,3,33.0,13,-18436,84765,103201,57,True,0,12.803993661925578
Gustavo Hamer,MID,Sheffield Utd,2.7,0,1,29,0,59.6,663,0.38,0.74,0.36,3.34,273,2,1,12.9,48.8,2024-03-09T15:00:00Z,90,3,0,0,0,0,28,0,14181,1,2,2,21.0,7,93,460,367,49,False,1,12.476586657390078
Alexis Mac Allister,MID,Liverpool,7.7,0,3,28,0,5.2,304,0.03,0.98,0.95,1.61,277,1,1,8.7,48.2,2024-03-10T15:45:00Z,90,13,0,0,0,0,28,0,334299,1,1,1,34.0,10,6100,13055,6955,58,True,0,12.141496792956932
James Maddison,MID,Spurs,5.3,0,1,30,1,7.9,504,0.03,0.75,0.72,0.97,272,0,1,8.9,43.0,2024-03-10T13:00:00Z,87,2,0,0,0,0,28,0,1158252,1,4,0,38.0,9,42521,69896,27375,79,False,0,11.591166776790468
Ryan Christie,MID,Bournemouth,7.4,1,0,21,0,34.1,65,0.05,0.28,0.23,2.1,162,3,0,8.2,35.2,2024-03-13T19:30:00Z,90,12,0,0,0,0,28,0,8352,1,3,4,13.0,5,904,1282,378,50,True,0,10.667342508316043
Ryan Christie,MID,Bournemouth,7.4,1,2,36,0,75.4,65,0.44,0.75,0.31,1.27,273,2,0,13.1,36.0,2024-03-09T15:00:00Z,73,17,0,0,0,0,28,0,8352,1,2,2,20.0,7,904,1282,378,50,True,0,10.667342508316043
Jacob Murphy,MID,Newcastle,2.8,0,0,24,0,54.3,423,0.25,0.31,0.06,1.18,275,2,1,12.6,48.8,2024-03-11T20:00:00Z,54,7,0,0,0,0,28,0,10251,0,2,3,23.0,6,-190,102,292,48,False,0,10.530219315134827
